Label,text
cyberbullying,RT kaijusoshingeki CultOfVivian shoe0nhead Wow wow hear lady dont afraid Anita money â€¦
cyberbullying,much despise 45 please let stay away rape joke never funny Plus people still killed gay trans much want see orange face orange jumpsuit feel rape victim ok thx
cyberbullying,actually throw two cent prison rape joke funny record Im gay seek small penised therethey desired
cyberbullying,Gay Filipino Comedian Apologises News Executive Rape Joke Gone Bad International Business Times AU httpfbmeGmUQMaBa
cyberbullying,RT gaterebooks true woman ran world wed still living echo chamber
cyberbullying,BlameOneNotAll repugnant allows ci het male oppressor cast single blame elsewhere complicit
cyberbullying,additionally actor openly HOMOPHOBIC Mysoginists make joke RAPE look people MENTAL ILLNESS Also fact villainize woman series isnt helping dont need drag woman portray gay relationship
cyberbullying,never believe Female Streamers call hater U tell thot Bitches using Body Views
cyberbullying,Biggest pet peeve Rape joke gay joke shutup
cyberbullying,â€™ man call bitch meant shit must acting like female ion like
cyberbullying,yet antique furniture Rojdarabbit LadiesIf youve around price go Call sexist u know true joke
cyberbullying,teen boy friend kinda crude usual assortment gay fart amp bleeching joke never ventured rape fantasy like Trump cuz yknow crossing line 14 knew better amp Trump excuse
cyberbullying,RT MikeFields honest like idea wife cooking cleaning guy earning money support family â€¦
cyberbullying,RT FO7935 youre grown woman hasnt gotten past awkward teenage year confusion angst youre probably feminist
cyberbullying,rude make mom gay rape kill ect joke people dont know theyve
cyberbullying,long people like left Benjamiin305 Im sexist WNBA really exist
cyberbullying,Huh Normal ppl â€™ call coworkers fucking bitch work think anyone make female accept Hmm Looks like lot witness instead going â€™ say response believe take like man
cyberbullying,sitting class next two chongo moron making gay joke rape joke rly wish believed hell sometimes
cyberbullying,Lighthearted statutory rape humor fun Aaaand gay joke Wonderful Miami VICE TGMVR
cyberbullying,Okay really rub wrong way female try call girl si Bitch stop playing
cyberbullying,TBH doesnt make joke rape gay race
cyberbullying,Girls care opinion thatashtonkid Girls participate shave November
cyberbullying,deltabluesking God youre right Rape joke demeaning gay men relationship hilarious Thank opening eye
cyberbullying,get abducted alien getting rape gay frog pizza gate took kid away human joke
cyberbullying,RT TheMeninism guy sell drug get girl guy degree say woman men â˜•ï¸ðŸ¸
cyberbullying,Prison rape joke still rape joke Ridiculous death threat still death threat Making fun powerful person calling gay fat disabled still punching Insulting someone saying joking still insult shit isnt hard
cyberbullying,Get grip TeeReel Im sexist dentist Woman dont feel comfortable guy sticking hand mouthLOL
cyberbullying,episode tosh0 racism terrorism beastility incest sexism rape gay hitler joke Props danieltosh
cyberbullying,half â€œ woke â€ twitter â€™ little friend drop nword gay slur andor rape joke frequently HEY least got retweets LMAO
cyberbullying,SxFlint93 Oh plenty picking rotten low hanging sexist fruit doesnt take much day
cyberbullying,RT ExclusiveGinger Im sexist girl bad driver
cyberbullying,girl acting like put three good dish Reality check use didnt Get high horse mkr
cyberbullying,get serious impeaching Trump perpetuates rape culture joke hanging gay people
cyberbullying,LIVE Brothers Arms ObamaLaw Feminazis spreaker coast2coast feminazi feminism liberty obama httpstcoLAuKe9jVO1
cyberbullying,Im worried bitch live mother cant even get place name got rule stay child place COON
cyberbullying,GOP WhiteHouse Republican culture Trump gutter speak ok call female public official fucking bitch let lead country httpsnbcnewsto3fVGXTn ShameOnYou Metoo sexistbullying ProjectLincoln CNN
cyberbullying,Idc excuse know â€™ say nword gay slur unacceptableThat rape joke terrible excuse â€œ oh high school know â€ like actually â€™ know â€™ relate
cyberbullying,Kat fucking cow MKR
cyberbullying,RT gemma92rogers Kat fight hard thats way win pathetic cheat mkr
cyberbullying,RT DEEsire mad bitch ÃƒÂ°Ã‚ÂŸÃ‚Â¤Ã‚Â” stay mad ÃƒÂ°Ã‚ÂŸÃ‚Â˜Ã‚ÂÃƒÂ°Ã‚ÂŸÃ‚Â˜Ã‚Â httpstcoJ6TRKy4aAK
cyberbullying,Kat cooking appears unpleasant MKR
cyberbullying,vanbadham TheFeedSBS Look think youll find real issue hippy feminazi sociopath parent Uggh cant believe real
cyberbullying,Oh Kat something new every night make look even like hateful twat mkr karmaisabitch
cyberbullying,one mistake bring politician clearly serial sexist Dont hear woman call resignation GOP call death gay men RT Perspective Im feminist study rape culture dont want Al Franken resign httpwapost2hyL9Motidsstwamputmterm2e673d605a9b
cyberbullying,RT EllieBaker92 Answer feminism woman lesbian FeminismIsAwful gamergate femfreq feminazi sex equality men httptcoâ€¦
cyberbullying,Kat fuck home mkr
cyberbullying,RT SxFlint93 YesYoureSexist well dont followyou stop trollingYou tohave something better look sexist twâ€¦
cyberbullying,RT SwifterYT Im sexist havent subscribed single female YouTuber
cyberbullying,probably meant im gay jokealot people say really admire someone amp rape allegation proven false many area
cyberbullying,evyncollins abused youre gay give right make joke rape
cyberbullying,RT TheMajesticPlum Im sexist house fire better finish dish dear
cyberbullying,rape joke racist joke gay joke transphobic joke terrorist joke etc joke phrase violent traumatizing thing survivor MacEwanOSVPE panel Linguistic Violence AtTheRoot MacEwanU NoPlaceHere â€“ MacEwan University
cyberbullying,Barnflake Im sexist happens complain quality woman playing ignoring historical context
cyberbullying,dude Tik Tok Made Gay Rape joke relation scene 13 Reasons Tyler made literally sick Stop liking STRAIGHT people making fun Gay cringy as video fake kissing people sex etc gross
cyberbullying,Anyone else disgusted Rape joke false accusation make political agenda Oh way gay people â€™ inherently rapist pedophile men ashamed
cyberbullying,Guardian Miley Cyrus make date rape joke onstage GAY Guardian break arena tour full httpdlvrit5dyvm3
cyberbullying,Joke Dude Last night bunch Gay Frogs tried Rape Damn
cyberbullying,RT LynnDP QuestionsForMen ever taken six week work casually decide want go back choose work partâ€¦
cyberbullying,dont know u guy saw stupid Media said Miley made rape joke Gay Clubâ€¦ httpinstagramcompn89B7zuw9D
cyberbullying,Something joke also handled really poorly also please stop pretending there obvious stereotyping going gay men game largely relegated horrific rape golem obviously play old gay panic stereotype
cyberbullying,TweetLikeALocal obama gay disgusting feminism rape thing joke take seriously
cyberbullying,Long ago asked white gay men lunch break advice thought safest city relocate live would said West Hollywood girlfriend one want rape joke meant make perfect sense
cyberbullying,making joke trauma REALLY â€™ funny come better concept instead making rape joke trauma joke â€™ funny audience racist gay men twinks
cyberbullying,Rades Buyingfarming whole new gear set BGs rape joke amp gay insult NOPE
cyberbullying,may call bitch cute make think special tbh one female want w forever u try try u find one person almost never leave ur mind
cyberbullying,sharia law sexist allows rape woman child young 9 encourages death gay let go ahead defend
cyberbullying,RT JohnnyMedieval outspoken45 MT89 FearBlandness NotYourScapegoat Join party
cyberbullying,RT p4ndiamond QuestionsForMen WomenAgainstFeminism feminism mybodymychoice httptcooqPP6gEwUe
cyberbullying,Celine isnt funny stop mkr
cyberbullying,RT ProTomahawks Im sexist went Subway three girl making sandwich four tradesman ordering observation
cyberbullying,MileyCyrus Miley Cyrus cause controversy daterape joke GAY club gig London httpifttt1lfacMw
cyberbullying,Pt2 andhertz talking rgays BAD FEMINIST Tosh0 rape joke mansplainers httpbitly1sImXUT BadFeminist 4life
cyberbullying,mean would know know Gunn also â€™ fucking pretty sure got comedian make 10x offensive joke get movie Robin Williams made gay joke rape joke â€™ still funniest man
cyberbullying,amp people thinking â€™ cause â€™ mean nah see fake shit bitch amp im careful let life bc â€™ learned lesson female used call â€œ friend â€
cyberbullying,SENTENCED
